Pathway,MCAV-Dis,MCAV-Dis-AH,MCAV-AH,MCAV-N,OFAV-Dis,OFAV-Dis-AH,OFAV-AH,OFAV-N,CNAT-Dis,CNAT-Dis-AH,CNAT-AH,CNAT-N,OFRA-Dis,OFRA-Dis-AH,OFRA-AH,OFRA-N
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis,0.036568234,0.032502476,0.014183432,0.017149773,0.041338704,0.036780119,0.034707957,0.025908438,0.028164192,0.017624943,0.014608881,0.004568138,0.018704935,0.001464747,0.028962993,0.01169377
GLUCARDEG-PWY: D-glucarate degradation I,0.022941507,0.007104024,0.005546698,0.028187931,0.046104783,0.02894295,0.040049593,0,0.019921976,0.009891716,0.019914535,0.03027104,0.025288448,0.026585912,0.020487008,0.033560866
PWY-7928: nickel cofactor biosynthesis,0.033301788,0.036352441,0.009037213,0.006305094,0.064664041,0.02854109,0.039325464,0.015024427,0.019499346,0.009495185,0.019195284,0.023237931,0.016462849,0.019711984,0.020052392,0.004468692
PWY-7229: superpathway of adenosine nucleotides de novo biosynthesis I,0.043691223,0.015661797,0.027465295,0.023431095,0.065659225,0.038481585,0.02987151,0.004760089,0.029953595,0.019303843,0.009805013,0.007951676,0.011053201,0.004771705,0.030803147,0.00116138
PWY-6952: glycerophosphodiester degradation,0.0405748,0.028524833,0.014766689,0.008252036,0.040176317,0.026368511,0.04164925,0.020562318,0.017214482,0,0.021503416,0.021564749,0.026745991,0.018076672,0.017702724,0.018830352
HEME-BIOSYNTHESIS-II: heme b biosynthesis I (aerobic),0.022646834,0.007462688,0.008810039,0.009950128,0.056691032,0.039359334,0.040083676,0.002848708,0.030876708,0.02016995,0.019948388,0.033808287,0,0.0300431,0.031752442,0.007986779
PWY-6910: hydroxymethylpyrimidine salvage,0.030214753,0.029212945,0.026809289,0.00185689,0.033041136,0.037694591,0.029722577,0.008373364,0.029125926,0.018527286,0.009657084,0.026310186,0.025493064,0.022714705,0.029952004,0.003712411
PWY-5973: cis-vaccenate biosynthesis,0.025597404,0.007213847,0.026246989,0.020155777,0.041977113,0.015132934,0.052132575,0.023694141,0.005398219,0,0.031916124,0.033936481,0.022458595,0.030168393,0.005551325,0.020774527
PWY0-1466: trehalose degradation VI (periplasmic),0.040764082,0.001727027,0.009270342,0.007103932,0.037928155,0.039156335,0.047001348,0.008538014,0.030663218,0.019969644,0.026819462,0,0.010477383,0.028571614,0.031532897,0.022473462
P121-PWY: adenine and adenosine salvage I,0.047504952,0.023888653,0.028168506,0.002424685,0.038904805,0.032676164,0.022715294,0.024712712,0.023848133,0.013575417,0.002697003,0.014492731,0.018709243,0.011164715,0.02452452,0.031902981
THREONINE-DEG2-PWY: L-threonine degradation II,0.037969807,0.007194556,0.016161839,0.012695103,0.062795521,0.034778888,0.038326041,0.021456698,0.026059532,0.015650254,0.018202593,0.017522846,0.012021592,0,0.02679864,0.014267342
PWY4FS-7: phosphatidylglycerol biosynthesis I (plastidic),0.020570972,0.136567111,0,0.01771412,0.040892887,0.011112488,0.036622052,0.028120942,0.001169984,0,0.016510083,0.008186501,0.01605918,0.005001215,0.001203167,0.02090739
PWY0-1296: purine ribonucleosides degradation,0.041748804,0.027277016,0.023576089,0.007018877,0.036130488,0.024360698,0.026100283,0.03153548,0,0.005370237,0.00605919,0.025971825,0.032826361,0.022384002,0.015531253,0.034563367
"PWY-6613: tetrahydrofolate salvage from 5,10-methenyltetrahydrofolate",0.028354915,0.033986606,0.029304041,0.020262316,0.048959403,0.030277223,0.040145044,0.005083164,0.021325207,0.011208292,0.020009343,0.011400158,0.002900872,0.008142137,0.021930039,0.027114854
SALVPURINE2-PWY: xanthine and xanthosine salvage,0.015902023,0.027940834,0.006879354,0.001255609,0.047721467,0.040435922,0.05314041,0.030270477,0,0.021232261,0.03291717,0.018956901,0,0.015527848,0.032916784,0.01508871
PWY-7180: 2-deoxy-&alpha;-D-ribose 1-phosphate degradation,0.033541239,0.008147053,0.027476773,0.005591234,0.03863054,0.036553737,0.042333081,0.023582592,0.02792611,0.017401563,0.022182641,0.017522272,0.012935923,0.014125689,0.028718158,0.003450449
"PWY0-301: L-ascorbate degradation I (bacterial, anaerobic)",0.022867232,0.003057817,0,0.00604915,0.035486253,0.033137445,0.051143637,0.001246429,0.024333254,0.01403058,0.030933847,0.02925465,0.028292406,0.025592527,0.0250234,0.029283706
GLUTDEG-PWY: L-glutamate degradation II,0.027162602,0.022220237,0.022885328,0.009397402,0.043768544,0.033441292,0.041920454,0.023473623,0.024652805,0.014330398,0.021772794,0.009709081,0.020686301,0.006489335,0.025352015,0.011843666
GLUTAMATE-DEG1-PWY: L-glutamate degradation I,0.026094144,0.020630923,0.01974545,0.007091026,0.068453933,0.039709068,0.043393513,0.005316048,0.031244517,0.020515046,0.02323593,0,0.019676904,0,0,0.03366134
PWY0-381: glycerol and glycerophosphodiester degradation,0.028176776,0.032427188,0.016799089,0.013374454,0.047956274,0.035506438,0.024262769,0.009672556,0.026824683,0.016368154,0.004234054,0.032063415,0.000332487,0.028337721,0.027585492,0.014473715
PANTOSYN-PWY: superpathway of coenzyme A biosynthesis I (bacteria),0.037904945,0.019228925,0.000560075,0.029077559,0.055408238,0.040967293,0.037914981,0.014959416,0.032567771,0.021756584,0.017794302,0.007173168,0.00377322,0.004010817,0.033491467,0.001729907
PWY0-823: L-arginine degradation III (arginine decarboxylase/agmatinase pathway),0.042405916,0.013488821,0.021567455,0.00036146,0.05856404,0.038209968,0.052457719,0.001136639,0.02966794,0.019035828,0.032239078,0.007292096,0.006038753,0.004127053,0.03050939,0.000367577
"GLYCOLYSIS-TCA-GLYOX-BYPASS: superpathway of glycolysis, pyruvate dehydrogenase, TCA, and glyoxylate bypass",0.02054821,0.021371165,0,0.028876426,0.059267507,0.025730508,0.042217085,0.028968435,0.016543506,0.006721879,0.022067427,0.013356782,0.025909695,0.010054476,0.017012717,0.018388375
PWY-5188: tetrapyrrole biosynthesis I (from glutamate),0.018504157,0.011503074,0.007865493,0.033683297,0.045145772,0.038355752,0.031435851,0.024830701,0.029821258,0.019179679,0.011358817,0.020576311,0.011661328,0.017110605,0.030667057,0.005109998
PWY-5886: 4-hydroxyphenylpyruvate biosynthesis,0.026132925,0.015038353,0.006389717,0.023025479,0.037501811,0.038155687,0.038953799,0.031647537,0.029610854,0.018982267,0.018826123,0.013942436,0.016616755,0.010626875,0.030450685,0
GLUTSYNIII-PWY: L-glutamate biosynthesis III,0.039105669,0.024710645,0.017294507,0.007685113,0.036028189,0.03967794,0,0,0.031211781,0.020484331,0.017441409,0.027052284,0.005542772,0.023440006,0.032097018,0.033945701
GLUTAMINEFUM-PWY: L-glutamine degradation II,0.029068964,0.024404809,0.023129531,0.029610137,0.037833231,0.030968406,0.045232771,0.000703923,0.022052113,0.011890309,0.025062798,0.021878128,0.005732741,0.018382958,0.022677561,0.00665924
PWY0-1569: autoinducer AI-2 degradation,0.030763141,0,0,0.00522527,0.034941513,0.041898419,0.044256622,0.006534166,0.033547021,0.022675361,0.024093225,0.021567763,0.015288624,0.018079617,0.034498491,0.021913063
ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine),0.029713623,0.007720162,0.012876342,0.018771318,0.063394687,0.025700234,0.040311438,0.029042702,0.016511666,0.006692006,0.020174617,0.021566081,0.017362484,0.018077974,0.016979975,0.009936184
PWY-6269: superpathway of adenosylcobalamin salvage from cobinamide II,0.024352735,0.012387097,0.010009111,0.030175628,0.055183007,0.021220323,0.041497054,0.014409508,0.011800221,0.002271512,0.021352246,0.03227748,0.003292852,0.02854694,0.012134903,0.032555004
PWY-5276: sulfite oxidation I,0.042555329,0.01027016,0.018867324,0.034502864,0.041104576,0.032155491,0.041599204,0.029169987,0,0.01306165,0.021453708,0.011645273,0.01997846,0.008381704,0.023961407,0.004441703
LACTOSEUTIL-PWY: lactose degradation II,0.046503441,0.006487922,0.001604085,0.015789833,0.062066305,0.033232164,0.02974316,0.005955786,0.024432869,0.014124044,0.009677528,0.021910129,0.02436225,0.018414234,0.025125841,0.013545594
PWY0-321: phenylacetate degradation I (aerobic),0.026728182,0.017514053,0.029700166,0.027166912,0.052475887,0.039112593,0,0.001387088,0.030617215,0.019926482,0.005218232,0.01587505,0.030808428,0,0.031485589,0.024875006
GLUTATHIONESYN-PWY: glutathione biosynthesis,0.047374079,0.033535189,0.01382299,0.032151829,0,0.040243465,0.025986045,0.025181593,0.031806534,0.021042356,0.005945722,0.010399232,0.012874139,0.007163865,0.032708639,0.012519257
PWY-6683: assimilatory sulfate reduction III,0.047679559,0.011577151,0.015254902,0.019633472,0.038117644,0.027887181,0,0.026207997,0.018811642,0.008849949,0.0218006,0.033491718,0.00928503,0.029733696,0.019345183,0.02457154
PWY0-1479: tRNA processing,0.03333055,0.024446188,0.017080981,0,0.057955328,0.02256903,0.033764373,0.017320735,0.013218634,0.003602331,0.013671653,0.032049916,0.016543236,0.028324527,0.013593544,0.023482947
TRPSYN-PWY: L-tryptophan biosynthesis,0.018232277,0.023899386,0.001718563,0.026072177,0.034218754,0.035002355,0.031322494,0.013635901,0.026294548,0,0.011246224,0.029843658,0.024942547,0.026168203,0.027040321,0.021191459
GALACTUROCAT-PWY: D-galacturonate degradation I,0.047592302,0.023777997,0.029188591,0.016721054,0.050750593,0.031924672,0.021239139,0.006322703,0.023057801,0.012833892,0.001230792,0.018476522,0.015053086,0.015058341,0.023711773,0.012782016
"PWY-5123: trans, trans-farnesyl diphosphate biosynthesis",0.041708218,0.009951191,0.008489822,0.013354193,0.044392249,0.032812943,0.039652315,0.026932828,0.023991981,0.013710383,0.019519934,0.001690512,0.027564903,0,0.024672449,0.020764847
PWY-8165: cytidylyl molybdenum cofactor sulfurylation,0.043113565,0.026843352,0.019254292,0.028913751,0.062485537,0.011959153,0.053195219,0.002714059,0.002060408,0,0.03297161,0.027944174,0.007855905,0.02431171,0.002118846,0.003376763
PWY0-845: superpathway of pyridoxal 5'-phosphate biosynthesis and salvage,0.04696327,0.019299845,0,0.008930292,0.067701118,0.029158523,0.02275107,0.010026334,0.02014869,0.01010443,0.002732539,0.031026026,0.003283352,0.027323811,0.020720153,0.028671171
GLYSYN-PWY: glycine biosynthesis I,0.023139562,0.035012733,0.028337401,0.004392745,0.057812495,0,0.028411703,0.002704389,0.02947732,0.01885698,0.00835504,0.016516151,0.021484663,0.013142339,0.030313364,0.02991683
PWY-6619: adenine and adenosine salvage VI,0.028281047,0.017805248,0.005333537,0.023513412,0.040078047,0.040422865,0.03836056,0.003849417,0.031995205,0.021219376,0.01823688,0.011573954,0.009470944,0.008311999,0.032902663,0.015349322
PWY-7560: methylerythritol phosphate pathway II,0.04668109,0.006569229,0.024881755,0.009014573,0.051591679,0.040065375,0.020803289,0.020691442,0,0.020866628,0.000797878,0.027154067,0,0.023539486,0.032516034,0.021055809
GLYOXYLATE-BYPASS: glyoxylate cycle,0.044353964,0.021785591,0.011947442,0.019123699,0.064146268,0.025295697,0.027516416,0.021813308,0.016086222,0.006292835,0.007465784,0.019409221,0.00255051,0.01596993,0.016542464,0.02576754
PWY-7856: heme a biosynthesis,0.015979046,0.014915524,0.027465684,0.008172072,0.045474428,0.036177495,0.034467279,0.019613557,0.027530423,0.017030311,0.014369824,0.012445215,0.017581306,0.009163541,0.028311248,0.017219126
PWY-7209: superpathway of pyrimidine ribonucleosides degradation,0.044406719,0.002483766,0.01462381,0.020087751,0.057625051,0.026610924,0,0.019938925,0.017469424,0.007590619,0.024261757,0.023328498,0.017612653,0.019800501,0.017964897,0.03201748
PWY-5917: phycocyanobilin biosynthesis,0.028112672,0,0.01070136,0.001943867,0.035016482,0.034667835,0.048314905,0.013454673,0,0.015540674,0.028124171,0.022136828,0.030529256,0.018635803,0.026678535,0.031715183
PWY-6019: pseudouridine degradation,0.040727866,0.015912168,0.004570444,0.017173107,0.060744597,0.03491361,0.022286832,0.031134701,0.026201217,0.015783189,0.002271428,0.00252899,0.009678712,0,0.026944343,0.034596134
TRESYN-PWY: trehalose biosynthesis I,0.039657947,0.032589543,0.026784075,0.026557685,0.034505473,0.024847021,0.030304352,0,0.015614358,0,0.01023494,0.026218095,0.03350902,0.022624698,0.016057217,0.005558127
DAPLYSINESYN-PWY: L-lysine biosynthesis I,0.042447206,0.007109259,0.029370906,0.014482712,0.05234872,0.032427303,0.023456462,0.008855675,0.02358641,0.013329857,0.003433179,0.021466518,0.026214749,0.017980664,0.024255374,0.004179976
PWY-7206: pyrimidine deoxyribonucleotides dephosphorylation,0.041644731,0.025010631,0.003214029,0.033781655,0.045351702,0.031129908,0.037971711,0.031509834,0.022221962,0.012049669,0,0.010055744,0.020681817,0.006828151,0.022852228,0
PWY-5121: superpathway of geranylgeranyl diphosphate biosynthesis II (via MEP),0.026635321,0.014260024,0.023911441,0.014815449,0.050537864,0.034569496,0.033574105,0.030805728,0.025839318,0.015443639,0.013482667,2.49638E-05,0.018517528,0,0.02657218,0.015062276
PWY-5704: urea degradation II,0.043867301,0.000130704,0.025961805,0.01289601,0.061869825,0.024893676,0.030462426,0.026506451,0.015663423,0.005896146,0.01039195,0.007468788,0.032949887,0.004299746,0.016107674,0.02441068
TRNA-CHARGING-PWY: tRNA charging,0.032795953,0.022490004,0.027988575,0.003749419,0.067401875,0.030671037,0.038406284,0.014383072,0.021739376,0.011596884,0.018282296,0.017876199,0.012472054,0.014471605,0,0.009268601
PWY0-1298: superpathway of pyrimidine deoxyribonucleosides degradation,0.01791837,0.007267763,0.004199514,0.003491198,0.060318911,0.024977942,0.04065597,0.030139497,0.015752045,0.005979294,0.020516827,0.0263012,0.013385982,0.022705922,0.016198809,0.033653718
PWY-5485: pyruvate fermentation to acetate IV,0.019810335,0.022608198,0.001363067,0.027592745,0.043154233,0,0.050714619,0.014584876,0.023304369,0.013065233,0.03050772,0.016963579,0.013442154,0.01357964,0.023965334,0.027970602
TEICHOICACID-PWY: poly(glycerol phosphate) wall teichoic acid biosynthesis,0.03130691,0.032687906,0.025652093,0.028234048,0.032447466,0.018274232,0.041598322,0.020427289,0.008701868,0,0.021452831,0.019604464,0.011208297,0.016160754,0.008948672,0.025890141
PWY-7967: 5-methoxybenzimidazolyl adenosylcobamide biosynthesis from adenosylcobinamide-GDP,0.041301605,0.001602342,0.014144501,0.016228096,0.035831524,0.036167236,0.037755107,0.024855949,0.027519633,0.017020188,0.017635506,0.005656828,0.030264286,0.002528796,0.028300153,0.005625632
PWY0-1275: lipoate biosynthesis and incorporation II,0.034608379,0.030993022,0.013521197,0.002837304,0.036094143,0.033694057,0.031090409,0.025819569,0.024918634,0.014579811,0.011015702,0.024865139,0.011263631,0.021302364,0.025625383,0
PWY-5480: pyruvate fermentation to ethanol I,0.032590929,0.007527584,0.001664015,0.020821858,0.032706005,0.036553941,0.038485854,0.020010301,0.027926324,0.017401765,0.018361329,0,0.009408365,0.016832705,0.028718379,0.033029654
PWY-7250: [2Fe-2S] iron-sulfur cluster biosynthesis,0.045798716,0.022285163,0.001012387,0.034228119,0.052494319,0.016027023,0.047991357,0.000783623,0.006338517,0,0.027802802,0.028227206,0.023026201,0.024588336,0.006518292,0.004907458
PWY-1881: formate oxidation to CO2,0.026356268,0.018488387,0.002434813,0.016899318,0.03793553,0.039005015,0.023592578,0.02147295,0.030504077,0.019820331,0.003568377,0.008162445,0.027701418,0.004977703,0.031369242,0.029621532
PPGPPMET-PWY: ppGpp metabolism,0.032943228,0.022264463,0.026608073,0.020139261,0.032072333,0.02806788,0.050787093,0.027887511,0.01900168,0.009028252,0.030579706,0.00077293,0.004802437,0,0.019540611,0.017010827
PWY-1269: CMP-3-deoxy-D-manno-octulosonate biosynthesis,0.019862602,0.016661208,0,0.034456206,0.040127485,0.036522276,0.035616732,0.009913193,0.027893023,0.01737052,0.015511535,0.024308535,0.011237801,0.020758358,0.028684133,0.002522543
PWY0-1241: ADP-L-glycero-&beta;-D-manno-heptose biosynthesis,0.041687218,0.016848956,0.002619609,0.026226377,0.034025609,0.024592218,0.05312345,0.004137313,0.015346385,0.005598686,0.032900324,0.012714548,0.02400154,0.009426778,0.015781644,0.02219928
FOLSYN-PWY: superpathway of tetrahydrofolate biosynthesis and salvage,0.029932458,0.017069348,0.025832783,0.012790974,0.034902406,0.033443778,0.048367662,0.006261141,0.024655419,0.014332851,0.028176572,0.005131812,0.021388712,0.002015663,0.025354703,0.011520192
ILEUDEG-PWY: L-isoleucine degradation I,0.017797391,0.017514664,0.01956624,0,0.05130673,0.026445664,0.037858457,0.022809458,0.017295623,0.00742755,0.017738159,0.027333636,0.03277669,0.02371499,0.017786166,0.003498246
PWY-5853: demethylmenaquinol-6 biosynthesis I,0.04086207,0.026872648,0.017268024,0.023203591,0.067666501,0.033792517,0,0.001629039,0.025022182,0.014676965,0.009199335,0.02235787,0.013691019,0.018851842,0.025731868,0
LEU-DEG2-PWY: L-leucine degradation I,0.019738965,0.018687216,0.007468785,0.012337146,0.066488535,0.034857148,0.021956559,0.004553196,0.026141837,0.015727476,0.00194338,0.024052829,0.03137491,0.020508439,0.026883279,0.008099055
PWY-7228: superpathway of guanosine nucleotides de novo biosynthesis I,0.047080556,0.018213685,0.028684052,0.025076368,0.033068947,0.024422877,0.050313602,0.021766661,0.015168292,0.005431591,0.030109404,0.000726182,0.015642585,0,0.0155985,0.009436062
"PWY-7013: (S)-propane-1,2-diol degradation",0.0447012,0.028012492,0.01370625,0.003094186,0.036644621,0,0.030087516,0.025896337,0.027838228,0.017319108,0.010019564,0.019501707,0.006147758,0.016060323,0.028627784,0.032654511
PWY0-1264: biotin-carboxyl carrier protein assembly,0.015336241,0.035335659,0.012865296,0.00765643,0.063981876,0.020708926,0.03742845,0.010809311,0.011262394,0.001766897,0.017311049,0.030127827,0.029308221,0.026445941,0.011581821,0.008351178
PWY-7194: pyrimidine nucleobases salvage II,0.020712463,0.003496885,0.0071272,0.024677941,0.051309667,0.03255671,0.04527813,0.001044742,0.023722505,0.013457547,0.025107852,0.026753925,0.0047488,0.0231484,0.024395329,0.012676788
PWY-6537: 4-aminobutanoate degradation II,0.034334757,0.020471958,0.01488167,0.009317967,0,0.04027946,0.03806725,0.011820756,0.031844389,0.021077874,0.017945545,0.010553801,0.018559732,0.007314936,0.032747569,0.030917674
PWY-7220: adenosine deoxyribonucleotides de novo biosynthesis II,0.041543932,0.004631234,0,0.025799586,0.046880486,0.039765488,0.037182837,0.001346805,0.031303853,0.020570718,0.017067091,0.006021621,0.015864595,0.002885333,0.032191702,0.016516695
PEPTIDOGLYCANSYN-PWY: peptidoglycan biosynthesis I (meso-diaminopimelate containing),0.017696632,0.023691691,0.007142328,0.007205596,0.052175112,0.027578685,0.041532595,0.01527614,0.018487202,0.008545545,0.021387548,0.010193892,0.033752877,0.006963173,0.019011541,0.028792179
PWY-5027: phylloquinol biosynthesis,0.039589529,0.000510497,0.021818216,0.02134981,0.047713874,0.039635926,0.042247196,0.000137955,0.031167596,0.020442875,0.022097335,0.01054789,0.002755066,0.007309159,0.03205158,0
PWY-5104: L-isoleucine biosynthesis IV,0.029395817,0.036477201,0,0.008278673,0.055909113,0.021403379,0.032678913,0.026135583,0.011992738,0.002452139,0.012593505,0.026585367,0.015875378,0.022983657,0.012332879,0.023489562
PWY-6644: fluoroacetate and fluorothreonine biosynthesis,0.027270848,0.019945482,0.014085928,0.019286256,0.040487721,0.026333354,0.036835127,0.025068515,0.017177509,0.00731673,0.016721723,0.030992943,0.007717173,0.027291476,0.017664702,0.003338431
PWY-2941: L-lysine biosynthesis II,0.031946699,0.022633613,0.008648557,0.03096274,0.042854936,0.033110548,0.035661522,0.0279607,0.024304967,0.01400404,0.015556023,0.008183836,0.00083092,0.004998611,0.024994311,0.010768516
PWY-5386: methylglyoxal degradation I,0.040132657,0.010290816,0.013021829,0.021410433,0.047806762,0.023984461,0.041342735,0.015162724,0.014707217,0.004998989,0.021198966,0.02026386,0.009653503,0.016805225,0.015124348,0.020520029
GLUCONSUPER-PWY: D-gluconate degradation,0,0,0.01376192,0.032080285,0.065664781,0.037912599,0.02883563,0.027050635,0.029355202,0.018742403,0.008776111,0.00103447,0.014747229,0,0.030187782,0.028200803
PWY-5041: S-adenosyl-L-methionine salvage II,0.041087381,0.021892961,0.024460345,0.003122917,0.04726594,0.023812491,0.030090206,0.007221398,0.01452636,0.0048293,0.010022237,0.028212579,0.010989317,0.024574041,0.014938361,0.02923782
PWY-7942: 5-oxo-L-proline metabolism,0.024003621,0.019451343,0.000155393,0.019094283,0.060541987,0.037404357,0.022239717,0.026442475,0.028820693,0.018240902,0.00222463,0.001317829,0.032683283,0,0.029638113,0.013907996
"PWY-5523: 5,6-dimethylbenzimidazole biosynthesis I (aerobic)",0.01765702,0.013350238,0.018494262,0.0117867,0.063710334,0,0.053615079,0.015749342,0,0.015736178,0.033388641,0.011427471,0.031438681,0.008168832,0.026892816,0.014709988
PWY-6891: thiazole component of thiamine diphosphate biosynthesis II,0.044531653,0.000197063,0.026605317,0.009565503,0.033898354,0.018457546,0.046348768,0.018396113,0.008894656,0,0.026171278,0.025669662,0.031915954,0.022088678,0.009146928,0.01369943
PWY0-1534: hydrogen sulfide biosynthesis I,0.016226654,0.013838777,0.004898567,0.024243039,0.063663407,0.025925763,0.040760336,0.031030697,0.016748852,0.006914545,0.02062049,0.000359206,0.022370857,0,0.017223888,0.030546672
PWY-5844: menaquinol-9 biosynthesis,0.021186165,0.010539019,0.012746039,0.014107669,0.062260707,0.028397018,0.022303744,0.015006487,0.019347829,0.009353025,0.002288226,0.032187135,0.017759911,0.02845864,0.019896578,0.01950557
PWY-8168: bis(guanylyl tungstenpterin) cofactor biosynthesis,0.029687119,0.033754348,0.017388715,0.034377495,0.051860836,0,0,0,0.0204938,0.010428228,0.031293098,0.022113845,0.023498448,0.01861334,0.021075051,0.020377406
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose),0.045237283,0.003940955,0,0.028370362,0.04197833,0.022532192,0.040993175,0.004141407,0.013179892,0.003565982,0.020851761,0.030213595,0.026233314,0.026529767,0.013553704,0.013295617
NAD-BIOSYNTHESIS-II: NAD salvage pathway III (to nicotinamide riboside),0.022830767,0.005934494,0.027942626,0.030449071,0.035006697,0.017063339,0.051677931,0.026634523,0.007428393,0,0.031464543,0.017216482,0.030437103,0.013826819,0.007639079,0.008561329
PWY-6758: hydrogen production II,0,0,0.024729171,0.001747551,0.060175234,0.041356935,0.042935296,0.021311466,0.032977551,0.022141058,0.0227808,0,0.013302187,0.009179184,0.033912869,0.007340327
GLNSYN-PWY: L-glutamine biosynthesis I,0.02870352,0.024210877,0.008271801,0.027548344,0.061661988,0.020463385,0.045104997,0.005039708,0.011004162,0.001524612,0.024935885,0.031509263,0.001742725,0.027796111,0.011316265,0.002684005
PWY0-1182: trehalose degradation II (cytosolic),0.035565147,0,0.017920069,0.009074617,0.05754116,0.028212133,0.042578671,0.008795672,0.019153388,0,0.022426577,0.027465642,0,0.023844009,0.019696622,0.021226584
PWY-6839: 2-aminoethylphosphonate biosynthesis,0.031261476,0.031532646,0.016866429,0.028533568,0.041493302,0.03613577,0.023979886,0.007410998,0.027486541,0.016989139,0.003953077,0.01191094,0.018485825,0.008641359,0.028266122,0
PROTOCATECHUATE-ORTHO-CLEAVAGE-PWY: protocatechuate degradation II (ortho-cleavage pathway),0.028887698,0.011007319,0,0.028556592,0.063927205,0.01109007,0.043500733,0.003561011,0.001146408,0,0.023342428,0.032323724,0.031384967,0.028592138,0.001178922,0.024001939
PWY-6898: thiamine diphosphate salvage III,0.04469637,0.036638236,0.028844349,0.002365615,0.056988296,0.027915156,0.02749226,0.015028496,0.018841062,0.008877553,0.00744179,0.016146295,0.00861841,0.012780854,0.019375438,0
PWY-7335: UDP-N-acetyl-&alpha;-D-mannosaminouronate biosynthesis,0.045742473,0.013603301,0,0.026141416,0.038105988,0.035852554,0.036291871,0.000142173,0.027188688,0.01670968,0.016182126,0.00600802,0.018808323,0.00287204,0.027959822,0.020200014
CITRULLINE-DEG-PWY: L-citrulline degradation,0.038414366,0.027932576,0.001298955,0.01267944,0.04953871,0.034410412,0.035602566,0.010328777,0.025672012,0.015286665,0.015497464,0.020006269,0.018637949,0,0.026400129,0
PWY0-1314: fructose degradation,0.017238414,0.034978701,0.010846018,0.013864601,0.038834482,0.026401742,0.03160595,0.029832955,0.017249431,0.007384211,0.011527771,0.012451582,0.03168397,0.009169764,0.017738664,0.020731643
GLUT-REDOX-PWY: glutathione-glutaredoxin redox reactions,0.03432553,0.011568912,0.009763795,0.001236522,0.061682907,0.037287014,0.023129597,0.024567574,0.028697284,0.018125115,0.003108516,0.028136503,0.01265671,0.024499687,0,0.012751609
POLYISOPRENSYN-PWY: polyisoprenoid biosynthesis (E. coli),0.044804483,0.003871847,0.016512886,0.015323137,0.038041614,0.023678687,0.030641451,0.009240763,0.01438564,0.004697271,0.010569768,0.027265335,0.029396792,0.023648236,0.01479365,0.024613342
"PWY-5162: 2-hydroxypenta-2,4-dienoate degradation",0.045535335,0.003686005,0.021519061,0.007394115,0.058718424,0.01606401,0.042456374,0.014271131,0.006377416,0,0.022305104,0.030440185,0.001102633,0.026751229,0.006558294,0.027682693
PWY-6123: inosine-5'-phosphate biosynthesis I,0.038405179,0.02813925,0.023042146,0.014455371,0.045241933,0.023193804,0.036560143,0.019745512,0.013875697,0.004218819,0.016448591,0.011074935,0.032159595,0.007824275,0.014269244,0.000743105
GLUTSYN-PWY: L-glutamate biosynthesis I,0.04564296,0.031829275,0.014413147,0.013535674,0.043303774,0.03697564,0,0.017751465,0.028369818,0.01781787,0.01249816,0.010773619,0.00190782,0.007529779,0.02917445,0.01714538
PWY0-1567: NADH to cytochrome bo oxidase electron transfer II,0.037243665,0.021050801,0.025260897,0.025732815,0.041500207,0.025200733,0.022196231,0.024060604,0.01598635,0.00619913,0.002181437,0.008751734,0.028181562,0.005553656,0.016439759,0.021836428
PWY-6041: 4-sulfocatechol degradation,0.022349955,0.018195871,0.024877547,0.025620874,0.059108935,0.037932133,0,0.026745204,0,0.018761678,0.01149288,0.02196168,0.011516929,0.018464619,0.030208908,0
AST-PWY: L-arginine degradation II (AST pathway),0.045707773,0.019563975,0.02504803,0.011758414,0.048431658,0.023415686,0.024600471,0.003553245,0.014109047,0.004437759,0.004569481,0.028005454,0.012575331,0.024371603,0.014509212,0.022387962
PWY-7971: adenosylcobinamide-GDP salvage from cobinamide I,0.02919138,0.027634735,0.004430169,0.008176054,0.050765274,0.028470152,0.021423589,0.027950987,0.019424742,0.009425188,0.001414,0.021014039,0.00720693,0.017538426,0.019975672,0.032937204
PWY-7968: 5-methylbenzimidazolyl adenosylcobamide biosynthesis from adenosylcobinamide-GDP,0.039407434,0.024819441,0,0.00016457,0.059638999,0.030188003,0.034505481,0.022712495,0.021231377,0.011120256,0.01440777,0.012562816,0.014362392,0.009278481,0.021833547,0.010195979
SALVADEHYPOX-PWY: adenosine nucleotides degradation II,0.024166153,0.006639871,0.010108356,0.019467692,0.045744489,0.037599312,0.036813283,0.017670061,0.029025723,0.018433271,0.016700025,0.016296833,0.001951949,0.012927985,0.029848959,0.002651975
PWY0-501: lipoate biosynthesis and incorporation I,0.026978656,0.028061075,0,0.003576249,0.058032667,0.034808041,0.021257905,0.021592365,0.026090191,0.01567902,0.001249432,0.014299418,0.013400331,0.010975778,0.026830168,0.022868353
PWY-5964: guanylyl molybdenum cofactor biosynthesis,0.032236028,0.028641999,0.003057439,0.0053718,0.033453184,0.035647746,0.049170485,0.024734969,0.026973295,0.016507588,0.028973987,0.005808025,0.004577059,0.002676571,0.027738319,0
